"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16160","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","firefox","Fri Sep 11 10:21:52 UTC 2026","passed","Fri Sep 11 10:22:08 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","24477","Column filter popup applies a filter and Clear restores the full row set","webkit","Fri Sep 11 10:39:24 UTC 2026","passed","Fri Sep 11 10:39:49 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","11083","File Processing sub-page loads correctly","chromium","Fri Sep 11 10:15:05 UTC 2026","passed","Fri Sep 11 10:15:17 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11026","Last page arrow jumps to the final page","chromium","Fri Sep 11 10:20:51 UTC 2026","passed","Fri Sep 11 10:21:03 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","17905","Page size change to 10 updates pagination info in bottom-right pager","firefox","Fri Sep 11 10:18:25 UTC 2026","passed","Fri Sep 11 10:18:43 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","18408","Page size change to 10 updates pagination info in bottom-right pager","firefox","Fri Sep 11 10:23:29 UTC 2026","passed","Fri Sep 11 10:23:48 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8209","Verify dashboard footer footnote and privacy link are visible","chromium","Fri Sep 11 10:14:09 UTC 2026","passed","Fri Sep 11 10:14:17 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11870","Search box filters grid and clears correctly","chromium","Fri Sep 11 10:16:11 UTC 2026","passed","Fri Sep 11 10:16:23 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14978","File Processing sub-page loads correctly","firefox","Fri Sep 11 10:16:18 UTC 2026","passed","Fri Sep 11 10:16:33 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17194","""View"" (Change Log) link on a row navigates to the entity log","firefox","Fri Sep 11 10:21:35 UTC 2026","passed","Fri Sep 11 10:21:52 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","15157","Verify Check Only tab shows Check-specific chart sections","webkit","Fri Sep 11 10:31:00 UTC 2026","passed","Fri Sep 11 10:31:15 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","15443","""View"" (Change Log) link on a row navigates to the entity log","msedge","Fri Sep 11 10:16:34 UTC 2026","passed","Fri Sep 11 10:16:49 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","14895","Default filter auto-applies after logout and re-login","webkit","Fri Sep 11 10:37:07 UTC 2026","skipped","Fri Sep 11 10:37:22 UTC 2026","Issued Checks — Default Filter (Serial)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","4843","Validate Login functionality with missingUsername","msedge","Fri Sep 11 10:10:51 UTC 2026","passed","Fri Sep 11 10:10:55 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","9403","Validate session persists after page refresh","msedge","Fri Sep 11 10:11:24 UTC 2026","passed","Fri Sep 11 10:11:33 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","14360","Default filter auto-applies after logout and re-login","firefox","Fri Sep 11 10:25:38 UTC 2026","skipped","Fri Sep 11 10:25:53 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","13129","Last page arrow jumps to the final page","msedge","Fri Sep 11 10:18:37 UTC 2026","passed","Fri Sep 11 10:18:50 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","10186","Validate teller presented-check form shows all required fields","msedge","Fri Sep 11 10:17:08 UTC 2026","passed","Fri Sep 11 10:17:18 UTC 2026","Teller - Smoke","specs\Smoke\6-TellerSmoke.spec.ts","",""
"","12544","Branding sub-page loads correctly","firefox","Fri Sep 11 10:12:50 UTC 2026","passed","Fri Sep 11 10:13:02 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","3624","Validate Login functionality with emptyFields","firefox","Fri Sep 11 10:10:49 UTC 2026","passed","Fri Sep 11 10:10:53 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7727","Verify dashboard loads after successful login","chromium","Fri Sep 11 10:12:34 UTC 2026","passed","Fri Sep 11 10:12:42 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","9337","Roles/Permissions sub-page loads correctly","chromium","Fri Sep 11 10:12:31 UTC 2026","passed","Fri Sep 11 10:12:40 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","14608","Verify dashboard footer footnote and privacy link are visible","webkit","Fri Sep 11 10:33:07 UTC 2026","passed","Fri Sep 11 10:33:21 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
